BeginDate,EndDate,TimeWindow,Correlation,Corr. Stddev,#EQs
1972.6140799999998,1973.61404,1.0,1.59,1.4068,58
1972.6909999999998,1973.69096,1.0,1.6046,1.3904,57
1972.76792,1973.76788,1.0,1.593,1.2949,66
1972.84484,1973.8448,1.0,1.7733,1.4063,62
1972.92176,1973.92172,1.0,1.6974,1.3079,62
1972.99868,1973.99864,1.0,1.7505,1.3788,59
1973.0756,1974.07556,1.0,1.8107,1.052,70
1973.1525199999999,1974.15248,1.0,2.2303,1.2636,97
1973.2294399999998,1974.2294,1.0,2.3611,1.4688,118
1973.3063599999998,1974.30632,1.0,2.3658,1.6403,139
1973.3832799999998,1974.38324,1.0,2.3768,1.6682,149
1973.4602,1974.46016,1.0,2.5099,1.7494,170
1973.53712,1974.53708,1.0,2.4872,1.7434,178
1973.61404,1974.614,1.0,2.5481,1.881,199
1973.69096,1974.69092,1.0,2.6782,1.9024,238
1973.7678799999999,1974.76784,1.0,2.6089,1.9083,242
1973.8447999999999,1974.84476,1.0,2.6641,1.9875,259
1973.9217199999998,1974.92168,1.0,2.5457,1.99,292
1973.9986399999998,1974.9986,1.0,2.5214,1.9914,312
1974.07556,1975.07552,1.0,2.5535,1.9753,336
1974.15248,1975.15244,1.0,2.5565,1.975,322
1974.2294,1975.22936,1.0,2.5337,1.9872,322
1974.30632,1975.30628,1.0,2.5626,1.9834,321
1974.38324,1975.3832,1.0,2.5535,2.0111,337
1974.4601599999999,1975.46012,1.0,2.555,2.0146,338
1974.5370799999998,1975.53704,1.0,2.5452,1.9875,343
1974.6139999999998,1975.61396,1.0,2.5624,1.9245,369
1974.69092,1975.69088,1.0,2.5831,1.9673,361
1974.76784,1975.7678,1.0,2.6986,2.0256,378
1974.84476,1975.84472,1.0,2.6508,2.0213,370
1974.92168,1975.92164,1.0,2.6788,1.9864,348
1974.9986,1975.99856,1.0,2.6841,1.9604,340
1975.0755199999999,1976.07548,1.0,2.7873,1.924,317
1975.1524399999998,1976.1524,1.0,2.7808,1.9033,308
